Configuration,X-linear Velocity,Y-linear Velocity,Speed,Yaw Rate
'0011000000000000,-0.022169081935408688,0.09289487960004458,0.09550354368223127,-0.19566591353401802
'0011000000000001,-0.03965296852816347,0.21105980711716282,0.21475241580376256,-1.0692223820588684
'0011000000000010,-0.5756922320595611,-0.08665408758415138,0.5821839472067815,-1.7603763257002019
'0011000000000011,-0.8267478603098606,0.1440913748332217,0.8392262040089636,-2.8384347423444702
'0011000000000100,-0.36278654180609443,-0.17521416823649175,0.4028825758108544,-0.8758183680200091
'0011000000000101,-0.22242468551475258,-0.05927870970842071,0.2301884149481722,-0.8027363717133995
'0011000000000110,-0.5778508018095081,0.31248206553877983,0.6569299198571178,-1.2963105252365248
'0011000000000111,-0.5471076390806604,0.3785189627960056,0.6652845832942155,-2.0124373671599027
'0011000000001000,-0.23746229992291545,0.09538967340330344,0.2559053219686858,-0.8151834875025574
'0011000000001001,-0.2574567538764729,0.14680551580419074,0.2963711180508259,-1.0825285975526364
'0011000000001010,-0.527970126590813,0.10086265046231445,0.5375421894783365,-1.0497294172986757
'0011000000001011,-0.4750628086400484,0.07019951335444831,0.48022174871397055,-1.3092979251905237
'0011000000001100,-0.3661516238613632,0.2172352354702874,0.425744241742849,-1.6376489979815645
'0011000000001101,-0.3451150846097503,0.1396356268719501,0.3722936836848274,-1.2266062669517457
'0011000000001110,-0.5274769630158486,0.47501149070862037,0.7098378932276849,-2.0761895136159634
'0011000000001111,-0.5387096431058552,0.31516600816738616,0.6241298043177247,-1.8077786475842519
'0011000000010000,-0.08542154796446047,0.05989131782034901,0.1043255627051919,-0.43161716244870013
'0011000000010001,-0.08295428344792037,0.05846817960368606,0.10148862901363413,-0.6418724443746986
'0011000000010010,-0.5464498309207576,0.07538103354808176,0.5516254013484473,-1.3503687272047646
'0011000000010011,-0.6602433184039155,-0.033912375990814425,0.661113908484573,-1.3331058642803841
'0011000000010100,-0.3433605854821564,0.41485005756991755,0.5385137583601912,-1.8505911486015991
'0011000000010101,-0.33098232199861266,0.5483989415584664,0.6405393816674193,-2.425970762820014
'0011000000010110,-0.5903501038704522,0.3397490005147931,0.6811333969548181,-1.746303398636739
'0011000000010111,-0.5009276809540184,0.09272519715957933,0.5094374820928331,-1.1343033447771569
'0011000000011000,-0.26125660709972165,0.20394920995844953,0.3314367134098824,-1.0631435856078966
'0011000000011001,-0.2511202309803532,0.11734348210872383,0.277183807929877,-0.8512491787529998
'0011000000011010,-0.5010536060934119,0.33632891849261215,0.603466608017078,-1.6893862429936677
'0011000000011011,-0.47483518502537175,0.24878020766112072,0.5360658573326265,-1.213483083449788
