Configuration,X-linear Velocity,Y-linear Velocity,Speed,Yaw Rate
'1001000000000000,0.0037317517653194174,0.013827075046980735,0.014321801753029911,-0.8169093607291679
'1001000000000001,0.07630254379225353,-0.09369200787618549,0.1208315871316382,-0.25003500151655506
'1001000000000010,-0.6602250967012867,0.31059485138616055,0.729640777530439,-2.6184094492291186
'1001000000000011,-0.3512527453100183,0.1520792061962616,0.38276177587696486,-2.3067726978856915
'1001000000000100,0.003593323643648398,0.20525803473482324,0.20528948558227272,-1.8605556097184508
'1001000000000101,-0.009406090331118663,0.02081801367454996,0.022844347851126594,-0.6227282446982063
'1001000000000110,-0.16982229171101623,0.2543365406519232,0.305821353158276,-2.2624241723319525
'1001000000000111,-0.16308610381873997,0.24355769760841103,0.2931167530656707,-2.004319566216163
'1001000000001000,-0.10608038893927112,0.20086319535360406,0.22715429307113366,-1.4062434834339175
'1001000000001001,-0.03714437182057451,0.05263648262952648,0.06442285084475896,-0.9952557675376579
'1001000000001010,-0.09873880574155537,-0.003638363905437568,0.09880581778784611,-1.3003848994130727
'1001000000001011,-0.17147190955423608,0.12510582254115526,0.21225947144651525,-1.5308896704276314
'1001000000001100,-0.05270369169084378,0.20435597678168455,0.2110427548280057,-1.7991771478197605
'1001000000001101,-0.09160982741169739,0.09937803853203112,0.13516047883532725,-1.736643398761264
'1001000000001110,-0.12707292779931648,0.06914905353972552,0.14466900483482117,-2.2461408049672844
'1001000000001111,-0.08691619569344833,0.141732541774628,0.16626045943998333,-2.001682009899179
'1001000000010000,0.08073398428415075,-0.23390447470645143,0.247445508202083,-0.18750733257463895
'1001000000010001,-0.01626235653977745,-0.022578510905280364,0.02782540945788977,-0.7861753920216143
'1001000000010010,-0.14912352988763058,0.2010260593721059,0.25029843202426155,-2.53598450700065
'1001000000010011,-0.33336880464941754,0.1965307804743074,0.3869872190536875,-2.177770044113665
'1001000000010100,-0.14643892215651497,0.3037349552484688,0.33719324543556717,-1.908713713868046
'1001000000010101,-0.05624692143028161,0.03999304666348235,0.06901565021873947,-1.1666434423026824
'1001000000010110,-0.1713810486213307,0.21468707584449373,0.2747034885020578,-2.292888622771534
'1001000000010111,-0.1378068607123682,0.015764466496880583,0.13870564433150565,-2.0684281971376035
'1001000000011000,-0.026584209561855573,0.0734111277802435,0.07807633391642808,-1.4111309458901646
'1001000000011001,7.912554238117484e-05,-0.019895231981247347,0.0198954105083576,-1.129829569264925
'1001000000011010,-0.15067063473214812,0.18854008912861733,0.24134996936005984,-2.502034107232624
'1001000000011011,-0.1533913672889951,0.05957349050131464,0.16455367613427924,-1.9008637949768379
'1001000000011100,-0.011689649069521735,-0.07741231863530776,0.07829008240808555,-1.009459173217638
'1001000000011101,-0.0742738431608798,0.11277770101613388,0.13503863352866724,-1.4814030946451642
'1001000000011110,-0.1054431017039513,0.15259132098120934,0.1854787293033704,-1.991620389381198
'1001000000011111,-0.12587276953599252,0.2067808328630241,0.24207905235704413,-2.4091002133332244
'1001000000100000,0.044866184200712866,-0.17190764807645056,0.17766601809357283,-0.37319758789860197
'1001000000100001,0.07887861968368713,-0.3226085692553059,0.3321116161848616,0.22703371040358683
'1001000000100010,-0.6460239511285621,0.20171415898452025,0.6768644950416111,-3.5320391917818696
'1001000000100011,-0.29680502303715284,0.03896172716300002,0.2993514842438619,-1.174695631468623
'1001000000100100,-0.10970150728330565,0.23688333979203688,0.2610519821326713,-1.681513867282353
'1001000000100101,-0.08356859845026729,0.22533215767825754,0.2403295490908227,-1.741825364898463
'1001000000100110,-0.1818153543240026,0.2116780957128633,0.279042029345912,-1.7598767734666243
'1001000000100111,-0.16488084857748353,0.07860083496771061,0.18265760469448647,-1.1067071679148226
'1001000000101000,-0.08542359023508014,0.20071898587240308,0.2181405540629402,-0.7251957693780579
'1001000000101001,-0.0650351219976695,0.10058629663528729,0.11977967763153431,-1.293874302041661
'1001000000101010,-0.2823213711442026,0.17502928257554887,0.3321756783766402,-1.0229800031607943
'1001000000101011,-0.3189146724392793,0.15520305961500205,0.3546752866421032,-1.9059765781245763
'1001000000101100,-0.10467066574251825,0.19628862653609042,0.2224526322478714,-1.7389716649802989
'1001000000101101,-0.13250031745445096,0.15656033889573265,0.20510356860302964,-1.4552248888429171
'1001000000101110,-0.27791831190114613,0.16822061974556812,0.3248642266127184,-1.6655088116911034
'1001000000101111,-0.4332038593581008,0.27068884998384946,0.5108209520372158,-2.861393489670934
'1001000000110000,0.06835462958899752,-0.05590339166877283,0.08830370680713372,-0.27726157192700507
'1001000000110001,0.025369955634002312,-0.09147533183602441,0.0949282412452253,-0.6412813157764777
'1001000000110010,-0.2176053377059306,0.06568165028519332,0.22730544596378022,-1.0351645914120418
'1001000000110011,-0.2756924059918445,0.014983567977595869,0.2760993760415406,-0.947475199246368
'1001000000110100,-0.030673793785872334,0.09796468901153149,0.10265458022847586,-1.3368742064516086
'1001000000110101,-0.02635547320174636,0.04033049345374106,0.048178415739802374,-1.2303578781779942
'1001000000110110,-0.2918439044538478,0.11928721091883117,0.3152821929435607,-1.6432998019879563
'1001000000110111,-0.3160011330062692,0.0654474342216263,0.3227074508685649,-1.1826237089893203
'1001000000111000,-0.04041861437358304,0.15217205672348694,0.15744840189655915,-1.7930543323864558
'1001000000111001,-0.08658033524836825,0.24548857414013794,0.2603090365089335,-1.7694263531269931
'1001000000111010,-0.23737511823995458,0.5751189931802797,0.6221807327675777,-3.3029203010438724
'1001000000111011,-0.3363411677147268,0.13122506852072652,0.3610337964168605,-2.167770635475719
'1001000000111100,-0.11384264805477193,0.28063012003786886,0.3028422284930527,-2.5273685565488764
'1001000000111101,-0.0837351404826166,0.14319196229097977,0.16587800319509063,-2.2479539002544384
'1001000000111110,-0.4011582879518662,0.17035763441317556,0.4358323652093882,-1.890110268718663
'1001000000111111,-0.3148452622528091,0.08651507519377574,0.3265155462525249,-1.4861759040005673
'1001000001000000,0.07749364959040558,0.036001475327475545,0.08544806976921483,-0.6634484701975804
'1001000001000001,0.07524642730874628,-0.11035179242727686,0.13356475595423195,-0.9045594784451977
'1001000001000010,-0.5760274257236798,-0.01930227974089082,0.5763544091619064,-2.077692184344717
'1001000001000011,-0.28390868699991356,0.012411877072846224,0.2841799450577146,-1.76100538763962
'1001000001000100,-0.11217067239355415,0.14558681050390218,0.18378732040547646,-1.1636183103017341
'1001000001000101,-0.1308801533644089,0.113800721900926,0.17343649962787877,-1.5455344368533892
'1001000001000110,-0.19756629562974296,0.2284677024292292,0.3020429317751016,-2.720616605670094
'1001000001000111,-0.15160098136760036,0.07555993212204223,0.1693876393223483,-2.3753803915373535
'1001000001001000,-0.20333558592111436,0.20533795362959545,0.28897929987586,-2.3223025622550764
'1001000001001001,-0.07126656845693999,0.06323407448689672,0.09527579508921992,-1.2008190436272697
'1001000001001010,-0.3353024384082199,0.22758751135117633,0.4052453591360773,-2.2738201934076727
'1001000001001011,-0.27160688715622155,0.1574750257658003,0.31395650233190614,-2.0341473054360586
'1001000001001100,-0.0832108501506706,0.19482685398140548,0.2118526603428508,-1.3294467552321825
'1001000001001101,-0.09886296048588418,0.10776357348587705,0.1462425135490791,-1.718561981137685
'1001000001001110,-0.274612079203791,0.13905287029282093,0.30781081035388524,-1.516357631766196
'1001000001001111,-0.1998237613898886,0.14375331489410925,0.2461596076527604,-1.5295438489823303
'1001000001010000,0.04078110329731332,0.06492682815969812,0.0766719728332697,-1.4906017921380095
'1001000001010001,0.03707552774039032,-0.03945963483683693,0.05414478311848205,-1.1738836308235558
'1001000001010010,-0.6583649706909166,0.03324821716177181,0.6592049953550804,-2.8190446775625633
'1001000001010011,-0.31560874909402375,0.1791769887400706,0.3629241992660531,-2.4622159956763707
'1001000001010100,0.014156713857570094,0.1410995366436086,0.14180793979383136,-1.9302123510946945
'1001000001010101,-0.11985316443243099,0.14342028489951572,0.18690687238085346,-1.667255756773519
'1001000001010110,-0.5377775955439875,-0.020543344417814965,0.5381747127980493,-1.2348530946718324
'1001000001010111,-0.3024043691533184,0.04969452107454904,0.30646036090805856,-1.0645725327701752
'1001000001011000,-0.07565171187277417,0.0578855735863831,0.0952571350719173,-1.3223211950026057
'1001000001011001,-0.04332276469170467,0.04238721624023188,0.06060971904151486,-1.2523293316530726
'1001000001011010,-0.2761823563085613,0.14795789840341644,0.31331810654799364,-1.3869662811647556
'1001000001011011,-0.17135656660927534,0.21788115437890096,0.27719176256722794,-2.3858138150256525
'1001000001011100,-0.11666584370225816,0.26782486079856,0.2921319482572296,-2.0150963905363954
'1001000001011101,-0.11111326220894602,0.2977991733362572,0.3178530419560921,-2.2504497234102407
'1001000001011110,-0.2751599211621487,0.22186435611555042,0.3534639762953402,-1.9340421102309049
'1001000001011111,-0.22322052725283026,0.2837711244146827,0.36104496908372236,-2.890092197083574
'1001000001100000,0.06661271165579151,-0.19657983413690355,0.20755935191938385,-0.7577169064045529
'1001000001100001,-0.008209654487954219,0.021109955035689434,0.022650135741999085,-1.1505652830934765
'1001000001100010,-0.36802910764032715,0.08072750390049158,0.37678244561431135,-1.432156261140562
'1001000001100011,-0.3027023775075256,0.05298920579442102,0.30730839085649037,-1.2119025559751773
'1001000001100100,-0.05223790447744591,0.22153767734726432,0.22761351202361976,-1.9596609634905051
'1001000001100101,-0.08296832759685034,0.2454903256312922,0.25913171057661943,-1.9926111207805728
'1001000001100110,-0.5287603525088872,0.08175428368415406,0.5350432600991551,-1.918503510147744
'1001000001100111,-0.5078284044296021,0.15457545044676363,0.5308327536766552,-2.5000768796083745
'1001000001101000,-0.10794989243183747,0.18913492520026104,0.21777327478025704,-1.5023569634509064
'1001000001101001,-0.14529369159755606,0.19776037694931747,0.24539646190873896,-1.819527996903938
'1001000001101010,-0.46595139627983,0.09811438456542203,0.4761694698726749,-1.023214607570929
'1001000001101011,-0.37115490643527127,0.2324759981355462,0.4379538738551362,-2.3818085422616075
'1001000001101100,-0.2192451514769643,0.2536486713705016,0.3352705609684001,-1.6381092962818578
'1001000001101101,-0.1402158736587046,0.32327521880575705,0.35237390800978907,-2.509702773271289
'1001000001101110,-0.5311051229043497,0.1953934744400841,0.565915025967592,-2.4624995693719054
'1001000001101111,-0.3410725547523582,0.16539886288133687,0.37906108841492575,-1.6463296218531935
'1001000001110000,-0.011079848172703907,0.07838457130683588,0.07916378004146743,-1.268926675160455
'1001000001110001,0.009820320781405746,-0.006572768469217095,0.011817004603226733,-1.4088015155694684
'1001000001110010,-0.4216922446624599,0.24313101478785462,0.48683498239038075,-2.676270418466991
'1001000001110011,-0.37580497210860486,0.16666975244817217,0.41110699824484126,-1.9648779393691345
'1001000001110100,-0.043332586459155005,0.1370131791056629,0.1437022072025009,-1.5470205777620225
'1001000001110101,-0.0901635221602048,0.3015570633581124,0.3147481662610033,-2.134607822651169
'1001000001110110,-0.48900807568810906,0.12463690065666592,0.5046460750316991,-2.0532504818690103
'1001000001110111,-0.4741454022616753,0.13727614707796923,0.4936179237708004,-2.098971193642371
'1001000001111000,-0.06559581035114452,0.15728537306495047,0.17041566548275455,-1.5381414779695863
'1001000001111001,-0.054769353700972204,0.16812140891035604,0.17681773348113744,-1.5870203508878105
'1001000001111010,-0.4636323154074741,0.21907466753084734,0.5127851764356806,-2.2533117851898012
'1001000001111011,-0.337290370325027,0.18276315507932192,0.38362374473040683,-1.9783933928656185
'1001000001111100,-0.15594955838037666,0.17920789936992723,0.23756207470894292,-1.3990057818430908
'1001000001111101,-0.24096561999783978,0.213442321651176,0.3219037973847391,-1.6703688563260652
'1001000001111110,-0.4986865029884415,0.14986982432866117,0.5207198801573163,-2.183671668452089
'1001000001111111,-0.40866265542966757,0.07048779629218986,0.41469712313221135,-1.4667962929974268
'1001000010000000,0.04058282273593927,0.06175492986723235,0.0738961221228113,-0.9784784731126585
'1001000010000001,0.053909165252192394,-0.24451446730800228,0.25038674658990967,-0.32148136218812284
'1001000010000010,-1.038530852085181,-0.44013555643224067,1.1279483185161674,-3.8385363210027483
'1001000010000011,-0.6798452808542365,-0.3929796719450033,0.785257188372725,-1.259622504974264
'1001000010000100,-0.49058972479479407,0.1599697030625066,0.5170673107487285,-4.233494721500608
'1001000010000101,-0.27344678827300317,0.008211679039324026,0.2735700599395704,-1.1876545408505124
'1001000010000110,-0.44324833691759813,0.1511114817436722,0.46829893869973893,-2.4687468894010958
'1001000010000111,-0.7430861196608317,-0.13610399881170618,0.7554477663966072,-1.7644658856062854
'1001000010001000,-0.3292457386925424,0.19669496927441693,0.3835253866247277,-2.0152471583418117
'1001000010001001,-0.3593678714874048,0.0965416552844318,0.3721096859430496,-1.8629499212423868
'1001000010001010,-0.26329976127033644,0.28464355470394304,0.3877482667161035,-1.976137541362825
'1001000010001011,-0.16038394585333837,0.0368892878532783,0.16457165532114973,-1.2579449981449007
'1001000010001100,-0.6686880542428151,-0.015258784653495335,0.668866653568554,-2.3571865443288416
'1001000010001101,-0.2356208621511883,0.25654900025084376,0.34833113597672255,-2.6681608752336716
'1001000010001110,-0.19627854732869077,0.07298640478567958,0.20940936895977735,-1.8616129499682363
'1001000010001111,-0.19569202000182856,0.015328349005144636,0.1962914308227325,-1.808002362610192
'1001000010010000,-0.023918463299613946,0.28358994302792623,0.2845968724841587,-1.7995736617023361
'1001000010010001,-0.05329081893125574,0.22115571584067886,0.2274857409485384,-1.9094435041159583
'1001000010010010,-0.6613423757235515,0.06365180567659262,0.6643997189340649,-1.7636012889055772
'1001000010010011,-0.5306360435134275,-0.030619623191438808,0.5315202354324722,-1.404728942562035
'1001000010010100,-0.42492052409684106,0.2736694929788723,0.5057907769401006,-2.9510134954365297
'1001000010010101,-0.23520494223922833,0.14594452907342326,0.2768395908057356,-1.4204064019290576
'1001000010010110,-0.6284085968932563,0.06362631283329503,0.6316233137515326,-2.2668665133621113
'1001000010010111,-0.489527746676146,0.14112941031990878,0.5094658716495304,-1.8243064406687002
'1001000010011000,-0.10238970928032838,0.10811473319417585,0.1489041575208747,-1.1726809433269536
'1001000010011001,-0.06287410068199148,-0.17504850450443382,0.18599766560654143,-0.3565980288971342
'1001000010011010,-0.2636565078619307,0.21687805160504128,0.34139545751252814,-2.43826000648072
'1001000010011011,-0.24134091007691566,0.22783711261721631,0.33189634848404176,-2.0962050694721315
'1001000010011100,-0.12584738769577852,0.15153005945785802,0.19697446324452492,-1.6971198529955893
'1001000010011101,-0.10915096049635221,0.12362178341894373,0.16491354317554438,-2.0389976637067835
'1001000010011110,-0.2552673566615439,0.24042311133374075,0.35066490477103257,-1.9874954143664039
'1001000010011111,-0.27201725644437535,0.09964511417950957,0.2896957460806819,-1.7890579583279311
'1001000010100000,0.0075444980518721855,0.029111361487895733,0.030073122330889195,-1.049422792849074
'1001000010100001,-0.0008680578955093905,0.06321789311520846,0.06322385323787909,-1.3816775599129711
'1001000010100010,-0.6301753618575792,-0.08627848241800691,0.6360825623197885,-1.0935912945111605
'1001000010100011,-0.6988849959146063,0.051672574792699794,0.7007947395034889,-2.590236651503196
'1001000010100100,-0.10530433336166403,0.18731571846460832,0.21488660009193272,-2.3024621781299532
'1001000010100101,-0.2188229215677115,0.2728145684003559,0.34973049394360384,-2.668771130977796
'1001000010100110,-0.5725419243663173,0.24123048385126022,0.6212896296927696,-2.8468119562622776
'1001000010100111,-0.747819108723434,0.028580303351806207,0.7483651478369945,-2.483755157368422
'1001000010101000,-0.06625563952783604,0.09572192738006344,0.11641521128007642,-1.2705164881889914
'1001000010101001,-0.23382426814287577,0.3482524359309396,0.4194682416777283,-2.6684074888338665
'1001000010101010,-0.3830226031159114,0.30879785337253446,0.4919988150216936,-2.799671981104996
