Configuration,X-linear Velocity,Y-linear Velocity,Speed,Yaw Rate
'1100000000000000,-0.013652089401551985,0.0160719085784901,0.02108757454932025,-0.92906128627509
'1100000000000001,-0.020129141768981344,0.1751595090747247,0.176312325062185,-1.2113225132160237
'1100000000000010,-0.3910191560138051,0.23762362526666242,0.4575597972307703,-2.256941538990592
'1100000000000011,-0.18963993814416602,0.10567655863671221,0.21709685455008587,-1.0897280247368635
'1100000000000100,0.008469856563173374,0.2037452750715229,0.20392126424733115,-1.0715088349888715
'1100000000000101,-0.1101204977682418,0.0698011091188738,0.13037914027590314,-0.8618793438754031
'1100000000000110,-0.1933839962803978,0.17293681416514906,0.2594311416938792,-2.1845272908773725
'1100000000000111,-0.17715629754314186,0.2075278053171967,0.2728805397697572,-1.924494925054709
'1100000000001000,-0.18745802656012236,0.23370892166636278,0.2996003544857987,-1.4706329321415819
'1100000000001001,-0.09043608233202237,0.11914187530904305,0.14957764355937628,-0.7000746348736059
'1100000000001010,-0.24994288112292218,0.3393664049160474,0.42147479239829416,-2.2894191938440183
'1100000000001011,-0.2374662817536753,0.42304648090546937,0.48513768038845506,-2.356283500900654
'1100000000001100,-0.07301797589170332,0.032761972325319806,0.08003111064768378,-1.0505443039611613
'1100000000001101,-0.09594702256546593,0.13699169849414708,0.1672499824521314,-1.4089949417578835
'1100000000001110,-0.14120375225973475,0.16297439838546612,0.21563662532453123,-1.4885081739920432
'1100000000001111,-0.16395338408378826,0.27711106708283695,0.3219802114394882,-2.965180512525701
'1100000000010000,-0.036272059839427884,0.1287742025649111,0.1337851171671832,-1.2899313104027414
'1100000000010001,-0.04623741789626933,0.17977065264870834,0.18562162158920903,-1.2429361070034142
'1100000000010010,-0.2637297942681827,0.3913892238941285,0.47196178470480393,-1.6903594577461267
'1100000000010011,-0.18406881750437395,0.4293720792260363,0.4671635529056614,-2.7196987295242887
'1100000000010100,-0.11462399558671403,0.2788161709722835,0.3014583181585062,-1.882693580787766
'1100000000010101,-0.06991042136887397,0.1579714358321869,0.17274965357938243,-1.6139930750145504
'1100000000010110,-0.21498887108890563,0.17732588235011562,0.2786870178451838,-1.4317681540012284
'1100000000010111,-0.1791874822107301,0.26758973532445945,0.3220441723386107,-1.8338006821950137
'1100000000011000,-0.05779769910631705,0.05454082049965578,0.0794687058294847,-0.7131133051145512
'1100000000011001,-0.0742879681215053,0.25614272277981986,0.26669795022163506,-1.9993089601230967
'1100000000011010,-0.22795892805610055,0.4542558669256607,0.5082456746120447,-2.9593262330620034
'1100000000011011,-0.1443331144910975,0.24194050299520692,0.28172194773556164,-1.7219127668110434
'1100000000011100,-0.07022100100354844,0.17527567043518957,0.18881883307863684,-1.4923178086335518
'1100000000011101,-0.09422786904817623,0.12707726655630744,0.15820089664103437,-1.3246009591521004
'1100000000011110,-0.18591079305241778,0.29568966746196207,0.3492781428425059,-2.381680237386397
'1100000000011111,-0.1826155927793423,0.12363503623069076,0.22053136131752946,-1.5778204345924967
'1100000000100000,0.043195176989243085,0.09037925877467956,0.10017102250268553,-0.9329202450189904
'1100000000100001,0.030838518642784057,0.06572278365555972,0.07259820043693879,-0.70879453749956
'1100000000100010,-0.2279167544658968,0.6720408509540291,0.7096373633148653,-3.8372158793226974
'1100000000100011,-0.5266819755557862,0.06208093777562288,0.5303281937251074,-2.5539991019716926
'1100000000100100,-0.12826605565953106,0.2411658586732435,0.2731540820514367,-1.3023152047061437
'1100000000100101,-0.020760345832123713,0.38276360702743534,0.38332619495349396,-2.758180964431483
'1100000000100110,-0.35399590196358266,0.049627447132275,0.3574580419236549,-2.1414521017611543
'1100000000100111,-0.2485653561396252,0.3685132541665503,0.44450733866882947,-2.438746780550296
'1100000000101000,-0.13944505852307246,0.2853386916278917,0.3175895186888838,-1.53607337184536
'1100000000101001,-0.14849600299277277,0.24642109835419665,0.2877054533317675,-1.7661037485945201
'1100000000101010,-0.3461378484282109,0.23757846700539692,0.4198272718149174,-1.7802217215180107
'1100000000101011,-0.3461378484282109,0.23757846700539692,0.4198272718149174,-1.7802217215180107
'1100000000101100,-0.13824819961398283,0.25798981848877983,0.2926966229119927,-2.052553948636589
'1100000000101101,-0.13824819961398283,0.25798981848877983,0.2926966229119927,-2.052553948636589
'1100000000101110,-0.33207110054793054,0.20563015306899077,0.39058287038317163,-1.9330624925147388
'1100000000101111,-0.21724117930329948,0.17432103038115065,0.2785346515407246,-2.209659699806364
'1100000000110000,-0.02864133525769615,0.2697476264436394,0.27126391381896076,-1.8066237806496739
