Configuration,X-linear Velocity,Y-linear Velocity,Speed,Yaw Rate
'0001000000000000,0.007433283553927516,0.15343125390099766,0.15361120850487414,-1.0801022990187166
'0001000000000001,0.028154570797109806,0.07671089188737054,0.08171438546409332,-0.694709124952968
'0001000000000010,-0.28965007527031034,0.22389420184778397,0.36609531705657505,-1.7104500403592056
'0001000000000011,-0.25142539683965226,0.10074231378474663,0.2708574295397944,-0.8863424779018059
'0001000000000100,-0.11369770525950476,0.14295679740679829,0.1826576419306666,-0.9364150550714905
'0001000000000101,-0.34883998875662453,0.168912204347055,0.3875831143549772,-1.1392059195860245
'0001000000000110,-0.23617411332494248,0.147142241017835,0.278262504448964,-0.6813287189499958
'0001000000000111,-0.2336908437640436,0.25442987296971714,0.3454648917894266,-1.4847844313845702
'0001000000001000,-0.11234284900660745,0.14420902604487404,0.18280360776339455,-0.9193587955108812
'0001000000001001,-0.053085805248006025,0.04345700569453029,0.06860476707702047,-0.6980477890039646
'0001000000001010,-0.19914386516486698,0.5396851816134559,0.5752589354490789,-2.0223520624482054
'0001000000001011,-0.16887450241658514,0.2518482965036333,0.30322627626608467,-1.785168891939259
'0001000000001100,-0.12975405280570015,0.26912815789021566,0.2987742954578483,-1.6230475686249655
'0001000000001101,-0.17665592402664138,0.37152331681348644,0.41138411543236236,-1.569527167594392
'0001000000001110,-0.17890881916394585,0.02417731667344033,0.18063881429563727,-1.0966409175281657
'0001000000001111,-0.21708813399648158,0.3154139818046983,0.3829010858923021,-1.6693599893419169
'0001000000010000,-0.030633439890509102,0.1516957029539477,0.1547578723355832,-0.9286165526385082
'0001000000010001,-0.0045445375116222875,0.026218736306717862,0.026609681493308727,-0.5044073045261341
'0001000000010010,-0.26391169204112214,0.3502855763203949,0.4385765548474699,-2.6416883282106767
'0001000000010011,-0.23972811246171885,0.4080112926536547,0.4732259324486883,-2.2747712848701553
'0001000000010100,-0.06941567636831775,0.1383528839268762,0.1547903641022672,-1.2144627169224316
'0001000000010101,-0.05149143733601015,0.04394372251372361,0.06769356632647995,-0.8453334335479616
