Configuration,X-linear Velocity,Y-linear Velocity,Speed,Yaw Rate
'1011000000000000,-0.04754226906082482,0.26212270403393306,0.26639928550492165,-2.036532683040576
'1011000000000001,0.017722518227035283,0.05905841452676293,0.061660232553804525,-0.4227203430032857
'1011000000000010,-0.368348511089071,-0.3673202070641178,0.5201969973868918,0.12111930782284663
'1011000000000011,-0.31899467105312385,0.19500187519061385,0.3738760955821307,-2.1500351272952276
'1011000000000100,-0.3486522049347269,0.06152828345376379,0.35403968342304304,-2.4378565237806353
'1011000000000101,-0.06231500006024801,0.1308400833730561,0.14492165712058389,-0.9059038602207574
'1011000000000110,-0.2768292944709836,0.41354175377246605,0.49764569874711767,-3.174238823183077
'1011000000000111,-0.2566388464102767,0.3207785994531265,0.4108070236631344,-2.1095627428036274
'1011000000001000,-0.3168853084149535,0.2690940370103615,0.41572575768620335,-1.8707717397482264
'1011000000001001,-0.11644026078381879,0.00919605172917701,0.11680283266527419,-0.30425713076822314
'1011000000001010,-0.22568494006619674,0.4233225684072185,0.4797246070095761,-2.7990809425293564
'1011000000001011,-0.2812127165379871,0.3573977591383602,0.4547677985156635,-2.3816495090126524
'1011000000001100,-0.1429762949495594,0.10784567040333529,0.17908912206734373,-1.6009411375151086
'1011000000001101,-0.18115609124512583,0.5244979087913235,0.5549014201161905,-2.1708003152365394
'1011000000001110,-0.23039333054137934,0.17371801538918377,0.2885464185615814,-1.930960979518811
'1011000000001111,-0.2483452789006635,0.5040862452634304,0.5619416031654019,-2.764538063056973
'1011000000010000,-0.06477279618832392,0.19308906093181802,0.20366369480205848,-1.3018469226231348
'1011000000010001,-0.02078885239618624,-0.07691491747314572,0.07967484497799873,-0.8753608821216066
'1011000000010010,-0.4013075973487262,0.22673768720157939,0.46093142432150286,-2.022595855985784
'1011000000010011,-0.41791246890582656,-0.05340575867636893,0.4213110620688038,-1.0363195506531615
'1011000000010100,-0.1683886226484554,0.23775025005234385,0.29134158645793007,-1.4997985202194941
'1011000000010101,-0.1666525174570178,0.3401844531343853,0.3788119902278806,-2.391006332848737
'1011000000010110,-0.2280360969257656,0.2979156281772093,0.37517221256967986,-2.6389728408576545
'1011000000010111,-0.2671336168517851,0.33690360841844985,0.4299586289034025,-2.4862685862025233
'1011000000011000,-0.08197750157512262,0.1150673000564745,0.14128267993159307,-1.221025811877362
'1011000000011001,-0.07784685379919701,0.10952773478924789,0.13437434787173472,-1.1415634905179264
'1011000000011010,-0.3252255097732303,0.48206496726372233,0.5815139125439204,-2.1001591030842857
'1011000000011011,-0.3079806651913131,0.3060360972955767,0.43417759517278276,-2.672851734486899
'1011000000011100,-0.16166365914914438,0.2370347935195084,0.2869157550916088,-2.3190844015832077
'1011000000011101,-0.08686421796099351,0.22312274173028931,0.23943506773932194,-2.557129090277624
'1011000000011110,-0.2712598759716491,0.6875580881188236,0.7391334858604287,-2.796664733545422
'1011000000011111,-0.23959884475936352,0.3865800345670956,0.454809645498176,-2.644121810925664
'1011000000100000,0.05012227270430547,-0.22130937172295242,0.2269142923407223,-0.6462226019281883
'1011000000100001,0.0471238843265979,0.08924642459165882,0.10092365822182701,-0.6204215855176317
'1011000000100010,-0.4677959616488989,-0.05486442895340726,0.4710023010646411,-1.2736114675349832
'1011000000100011,-0.4750396268027284,0.09148503736336486,0.4837687196972722,-1.204934482207833
'1011000000100100,-0.20902160064163594,0.2388046320783932,0.3173604919677196,-1.99776937653865
'1011000000100101,-0.11862874097687197,0.21125079922613743,0.24228024795391165,-1.469316076193221
'1011000000100110,-0.4953443098985212,0.23821666654917303,0.5496503618341434,-2.7994809019429536
'1011000000100111,-0.32143041592653304,-0.03562067618209808,0.3233981254483871,-0.42415582411569097
'1011000000101000,-0.12519016710006237,0.370589272786661,0.3911636322124296,-1.9294677698242293
'1011000000101001,-0.11647681995026865,0.314871947049351,0.3357249328401436,-2.085255813187659
'1011000000101010,-0.2604693495225684,0.33816601158591897,0.4268496728874903,-2.471341229369213
'1011000000101011,-0.40101438884787405,0.3542212152106305,0.5350562986100248,-2.2323069966321
'1011000000101100,-0.15992629481926193,0.4274656483657931,0.45640257089017017,-2.583349339755333
'1011000000101101,-0.15091173399082897,0.321291992416189,0.35496892925981427,-1.6009825900708905
'1011000000101110,-0.33421714420816373,0.5638392776081975,0.655450863026049,-2.167056104586404
'1011000000101111,-0.4710578755646074,0.3472053068631294,0.5851897650808813,-2.8080466013250462
'1011000000110000,0.011042121120505963,-0.043682650418672704,0.04536081340829571,-1.439580186452571
