pos_x,pos_y,pos_z,orn_x,orn_y,orn_z,orn_w
-2.6871899392125576,-2.198350659588986,0.06077488772259505,-0.685607411286618,0.17254452319660127,-0.17233440777127657,0.6859094087427604
-2.6883401184737323,-2.1992040144858778,0.0608025390669635,-0.6852474429111752,0.17403766392832443,-0.17373351248747732,0.6855388392766896
-2.6894711621603435,-2.2000640110682146,0.060822481140146656,-0.6849310241520683,0.17529906482504415,-0.17495941565811518,0.6852218129175651
-2.6905817346050074,-2.2009322584155995,0.06083695718421542,-0.6846879218460323,0.17627432564522255,-0.17594716696383012,0.6849616093138985
-2.6916689301901764,-2.2018084884428997,0.0608484815513523,-0.6845274072962899,0.1769353695922935,-0.17664563292129523,0.6847718043387102
-2.692665099162283,-2.20264997075974,0.06091696212399614,-0.6843292027079845,0.17760134026163202,-0.1766204734061578,0.6848039972372468
-2.693652842370642,-2.2034915036092935,0.06096479165247448,-0.6842345483470006,0.17789323881563512,-0.17673435004096508,0.6847934345097485
-2.6946393376903544,-2.2043304849994967,0.06100162095424639,-0.6841489164423296,0.17812949419974375,-0.17687323476400557,0.684781718689282
-2.6956312440296855,-2.205164678561905,0.0610296564362614,-0.6840539065859861,0.1784097840982547,-0.1770973638158734,0.6847457378851901
-2.696631851006804,-2.205992277412162,0.06104902616045461,-0.6839504639940073,0.17873204496465583,-0.1774087632122866,0.6846844160930066
-2.6976415081136382,-2.206812749880903,0.06105982758446555,-0.683844806945972,0.17907359284641783,-0.17779028755583492,0.6846017397063167
-2.69866262744319,-2.2076249984758176,0.061061123321026874,-0.6837335839159405,0.17942376176207042,-0.17824658746796826,0.6845024864795126
-2.6996974409853274,-2.2084287353961396,0.06105378519017642,-0.6836002385695401,0.17977557035757152,-0.1787588130850921,0.6844097784768178
-2.7007484697811313,-2.209224251594701,0.06105304929880081,-0.6834920527607558,0.18020470243366288,-0.17922483294686675,0.6842830834448934
-2.7018162465842126,-2.2100116596049535,0.06105100115240269,-0.6833936269279961,0.18065136041904067,-0.17969202731743572,0.6841410760738598
-2.7029042630903684,-2.210789564319491,0.061048571433918494,-0.6832865247498116,0.1811520899520085,-0.18024831990409165,0.6839692892031753
-2.7040161629149195,-2.211556346007567,0.06104328754036087,-0.6831643610522131,0.18172503998285489,-0.18091370476842733,0.6837636265979009
-2.7051537132226735,-2.212310513656952,0.061034034431581174,-0.6830258941909029,0.18237584269731322,-0.181707831952824,0.6835180638960222
-2.7063177146247375,-2.2130506422760248,0.06102108765750463,-0.6828631930241345,0.18313266482672352,-0.18265490093929243,0.6832257854100677
-2.7075090830118,-2.2137752485889153,0.061004121998918255,-0.6826646593318616,0.1840367166987897,-0.18380006617385972,0.6828740626795893
-2.7087279554412786,-2.2144833974987193,0.06098208115728184,-0.6824210163249622,0.18511867517542283,-0.18518456373447836,0.6824509578964433
-2.709947361789799,-2.2151689733883972,0.06098904499129957,-0.6820617536957309,0.18649368717164155,-0.18660267503518496,0.6820493460596113
-2.7111870497635353,-2.215837522545487,0.060986034198095423,-0.6816105386121482,0.18814355314585254,-0.18818702898825265,0.6816118537577569
-2.7124380655858737,-2.2164949249745898,0.0609863962392379,-0.6811146915657195,0.18993323834546758,-0.18997104133438078,0.6811161027014923
-2.7136910031672894,-2.2171487600586386,0.060988658922884645,-0.6806181678702583,0.191725465006635,-0.1918203624892473,0.6805918043639787
-2.714932875060359,-2.2178051897568887,0.06098992213862672,-0.6801327975868178,0.19343290717025638,-0.19351256281765708,0.6801146786403997
-2.716152046919591,-2.218468432718514,0.060988108632574034,-0.6797253915522292,0.19486045152278397,-0.19491390569459208,0.679714179547834
-2.7173414195959595,-2.2191432740865156,0.060984507691355404,-0.6794182639625113,0.19591479549892962,-0.19592650249222746,0.6794269799764676
-2.7185031926946377,-2.2198284364414267,0.06097941154256216,-0.679213517091263,0.1966203386484446,-0.19657119315858435,0.6792416408396192
-2.719639554980739,-2.22052332834524,0.06098027684148842,-0.6791115440377575,0.1969740833743766,-0.19692740089118563,0.6791379241448083
-2.7207593582315055,-2.2212254760020693,0.06098145689627469,-0.6790692284445979,0.19712072925703478,-0.1970812472909092,0.6790930591922528
-2.721866935175714,-2.2219289952110417,0.06098215184650985,-0.6790475653394876,0.19719740567101576,-0.19716144221214715,0.6790691812385254
-2.722976588974126,-2.2226299088475945,0.06097676916575516,-0.6790135397924572,0.1973191927531983,-0.1973572700218629,0.6790109402058709
-2.7240926198977466,-2.22332200015328,0.06097907393686725,-0.6789145789226416,0.19766275616265416,-0.1977089349260932,0.6789076567566942
-2.725216958396744,-2.224008285504346,0.06098144680356811,-0.6787810909006112,0.19812845894714634,-0.19819597126422253,0.6787633618321164
-2.7263486202734346,-2.2246863675653823,0.060982094039562534,-0.6786117847160924,0.198705960469485,-0.19879162051277818,0.6785896245391931
-2.727485503690019,-2.2253564019056666,0.060975464236242644,-0.6784066768411793,0.19940182469402767,-0.19936940852948246,0.6784210580963745
-2.728616056265752,-2.226022413571692,0.06097822280507952,-0.6782375597082793,0.19997827467583054,-0.19993330272732399,0.6782545073342165
-2.7297512984669705,-2.2266887275788116,0.06098032359282422,-0.6781031285733947,0.20043898734636115,-0.20041727239706547,0.6781100768278405
-2.730882676777399,-2.227351945034942,0.06098410689829069,-0.6779996586048264,0.20077787881746062,-0.20070626174689163,0.6780278038582843
-2.732024979645442,-2.2280099223092527,0.06097988266459545,-0.677940339558227,0.2009923242488736,-0.2010168255382597,0.6779315728325627
-2.7331759927790027,-2.2286588008297925,0.0609807021346546,-0.677867006326096,0.20123973643654158,-0.2012675807611441,0.6778571023069716
-2.73434493022288,-2.2292967496315117,0.06098146446877225,-0.6777734133628764,0.2015545725314488,-0.20159111512585612,0.6777610026642241
-2.7355371428601116,-2.229919449522231,0.06098214096097854,-0.6776325820541835,0.2020273562759666,-0.20205590487849379,0.677622640086986
-2.7367501843137845,-2.2305257555419087,0.06097856136626416,-0.6774366641089954,0.20266701406826326,-0.20265526730528877,0.6774485147691687
-2.737981547606146,-2.231119314653787,0.06097950490553338,-0.6772074546960699,0.20343301769186795,-0.20342338872682234,0.6772178346261613
-2.739236528402287,-2.231698503354317,0.06098080556318448,-0.6769270091645067,0.20436735669692416,-0.20436666228136816,0.6769328438835579
-2.740510320847836,-2.2322646145230167,0.06098155382012978,-0.676606807627946,0.20542598301431847,-0.20542478353303917,0.6766121870647355
